id,name,nick_name,front_img,back_img,type_1,type_2,ability_1,ability_2,ability_3,hp,attack,defense,sp_attack,sp_defense,speed,background
1,Bulbasaur,,http://www.pokestadium.com/sprites/xy/bulbasaur.gif,http://www.pokestadium.com/sprites/xy/bulbasaur-3.gif,Grass,Poison,,,,45,49,49,65,65,45,grass.gif
2,Ivysaur,,http://www.pokestadium.com/sprites/xy/ivysaur.gif,http://www.pokestadium.com/sprites/xy/ivysaur-3.gif,Grass,Poison,,,,60,62,63,80,80,60,grass.gif
3,Venusaur,,http://www.pokestadium.com/sprites/xy/venusaur.gif,http://www.pokestadium.com/sprites/xy/back/venusaur.gif,Grass,Poison,,,,80,82,83,100,100,80,grass.gif
4,Charmander,,http://www.pokestadium.com/sprites/xy/charmander.gif,http://www.pokestadium.com/sprites/xy/charmander-3.gif,Fire,,,,,39,52,43,60,50,65,fire.gif
5,Charmeleon,,http://www.pokestadium.com/sprites/xy/charmeleon.gif,http://www.pokestadium.com/sprites/xy/charmeleon-3.gif,Fire,,,,,58,64,58,80,65,80,fire.gif
6,Charizard,,http://www.pokestadium.com/sprites/xy/charizard.gif,http://www.pokestadium.com/sprites/xy/charizard-3.gif,Fire,Flying,,,,78,84,78,109,85,100,fire.gif
7,Squirtle,,http://www.pokestadium.com/sprites/xy/squirtle.gif,http://www.pokestadium.com/sprites/xy/squirtle-3.gif,Water,,,,,44,48,65,50,64,43,ocean.gif
8,Wartortle,,http://www.pokestadium.com/sprites/xy/wartortle.gif,http://www.pokestadium.com/sprites/xy/wartortle-2.gif,Water,,,,,59,63,80,65,80,58,ocean.gif
9,Blastoise,,http://www.pokestadium.com/sprites/xy/blastoise.gif,http://www.pokestadium.com/sprites/xy/blastoise-2.gif,Water,,,,,79,83,100,85,105,78,ocean.gif
10,Caterpie,,http://www.pokestadium.com/sprites/xy/caterpie.gif,http://www.pokestadium.com/sprites/xy/caterpie-2.gif,Bug,,,,,45,30,35,20,20,45,grass.gif
11,Metapod,,http://www.pokestadium.com/sprites/xy/metapod.gif,http://www.pokestadium.com/sprites/xy/back/metapod.gif,Bug,,,,,50,20,55,25,25,30,grass.gif
12,Butterfree,,http://www.pokestadium.com/sprites/xy/butterfree.gif,http://www.pokestadium.com/sprites/xy/back/butterfree.gif,Bug,Flying,,,,60,45,50,90,80,70,sky.gif
13,Weedle,,http://www.pokestadium.com/sprites/xy/weedle.gif,http://www.pokestadium.com/sprites/xy/weedle-2.gif,Bug,Poison,,,,40,35,30,20,20,50,grass.gif
14,Kakuna,,http://www.pokestadium.com/sprites/xy/kakuna.gif,http://www.pokestadium.com/sprites/xy/back/kakuna.gif,Bug,Poison,,,,45,25,50,25,25,35,grass.gif
15,Beedrill,,http://www.pokestadium.com/sprites/xy/beedrill.gif,http://www.pokestadium.com/sprites/xy/back/beedrill.gif,Bug,Poison,,,,65,90,40,45,80,75,sky.gif
